text1,text2,clean_text1,clean_text2,label,similarity_score
Mental health is as important as physical health for overall wellbeing.,Renaissance painters developed perspective techniques to create depth on flat surfaces.,mental health important physical health overall wellbeing,renaissance painters developed perspective techniques create depth flat surfaces,0,0.02
Type 2 diabetes is closely linked to obesity and physical inactivity.,The literature confirms that type 2 diabetes is closely linked to obesity and physical inactivity.,type diabetes closely linked obesity physical inactivity,literature confirms type diabetes closely linked obesity physical inactivity,1,0.62
Digital literacy has become an essential skill in the modern workforce.,"Theatre production involves directing, acting, set design, and lighting.",digital literacy become essential skill modern workforce,theatre production involves directing acting set design lighting,0,0.03
Geothermal energy harnesses heat from the Earth's interior for power generation.,Geothermal energy harnesses heat from the Earth's interior for power generation.,geothermal energy harnesses heat earths interior power generation,geothermal energy harnesses heat earths interior power generation,1,0.84
Consumer price index tracks changes in the price level of a basket of goods.,The detective uncovered the key evidence buried beneath the old mansion.,consumer price index tracks changes price level basket goods,detective uncovered key evidence buried beneath old mansion,0,0.05
Type 2 diabetes is closely linked to obesity and physical inactivity.,Renaissance painters developed perspective techniques to create depth on flat surfaces.,type diabetes closely linked obesity physical inactivity,renaissance painters developed perspective techniques create depth flat surfaces,0,0.06
Homeostasis is the body's ability to maintain stable internal conditions.,Hostels offer affordable shared accommodation popular with young travellers.,homeostasis bodys ability maintain stable internal conditions,hostels offer affordable shared accommodation popular young travellers,0,0.08
Hyperparameter tuning optimises model settings that are not learned from data.,Fashion trends shift with seasons and are influenced by culture and celebrity.,hyperparameter tuning optimises model settings learned data,fashion trends shift seasons influenced culture celebrity,0,0.03
Physical rehabilitation helps patients regain function after injury or surgery.,Physical rehabilitation helps patients regain function after injury or surgery.,physical rehabilitation helps patients regain function injury surgery,physical rehabilitation helps patients regain function injury surgery,1,0.89
The human brain contains approximately 86 billion neurons.,Scholars generally agree that the human brain contains approximately 86 billion neurons.,human brain contains approximately 86 billion neurons,scholars generally agree human brain contains approximately 86 billion neurons,1,0.76
Regular health screenings enable early identification of chronic conditions.,Ecotourism aims to minimise environmental impact while supporting local communities.,regular health screenings enable early identification chronic conditions,ecotourism aims minimise environmental impact supporting local communities,0,0.08
Evolution occurs through natural selection acting on genetic variation.,"Chocolate is made from cacao beans that are fermented, dried, and roasted.",evolution occurs natural selection acting genetic variation,chocolate made cacao beans fermented dried roasted,0,0.08
"Stagflation is the combination of stagnant growth, high unemployment, and inflation.","According to established theory, stagflation is the combination of stagnant growth, high unemployment, and inflation.",stagflation combination stagnant growth high unemployment inflation,according established theory stagflation combination stagnant growth high unemployment inflation,1,0.8
RNA plays a critical role in translating genetic information into proteins.,Sculpture uses three-dimensional form to convey meaning and emotion.,rna plays critical role translating genetic information proteins,sculpture uses threedimensional form convey meaning emotion,0,0.03
The Paris Agreement aims to limit global warming to 1.5 degrees Celsius.,The Paris Agreement generally aims to limit global warming to 1.5 degrees Celsius.,paris agreement aims limit global warming 15 degrees celsius,paris agreement generally aims limit global warming 15 degrees celsius,1,0.74
Mindfulness meditation has been shown to reduce symptoms of anxiety and depression.,Mindfulness meditation has been shown to reduce symptoms of anxiety and depression.,mindfulness meditation shown reduce symptoms anxiety depression,mindfulness meditation shown reduce symptoms anxiety depression,1,0.84
DNA carries the genetic information of all living organisms.,Fresh pasta is made from flour and eggs kneaded into a smooth dough.,dna carries genetic information living organisms,fresh pasta made flour eggs kneaded smooth dough,0,0.06
Hypertension affects approximately one in three adults worldwide.,Hypertension affects about one in three adults worldwide.,hypertension affects approximately one three adults worldwide,hypertension affects one three adults worldwide,1,0.85
Plastic pollution has contaminated oceans and freshwater systems globally.,oceans and freshwater systems globally. Plastic pollution has contaminated,plastic pollution contaminated oceans freshwater systems globally,oceans freshwater systems globally plastic pollution contaminated,1,0.76
The Magna Carta was signed in 1215 and limited the power of the English monarch.,The Magna Carta was signed in 1215 and limited the power of the English monarch.,magna carta signed 1215 limited power english monarch,magna carta signed 1215 limited power english monarch,1,0.85
Evolution occurs through natural selection acting on genetic variation.,The library catalogues its collection using the Dewey Decimal Classification system.,evolution occurs natural selection acting genetic variation,library catalogues collection using dewey decimal classification system,0,0.03
Biodiversity refers to the variety of life forms found within a given ecosystem.,Overtourism in popular destinations has raised concerns about cultural preservation.,biodiversity refers variety life forms found within given ecosystem,overtourism popular destinations raised concerns cultural preservation,0,0.02
Quantum entanglement allows two particles to be correlated regardless of distance.,Research indicates that quantum entanglement allows two particles to be correlated regardless of distance.,quantum entanglement allows two particles correlated regardless distance,research indicates quantum entanglement allows two particles correlated regardless distance,1,0.74
Venture capital provides funding to early-stage startups with high growth potential.,Venture capital offers funding to early-stage startups with high growth potential.,venture capital provides funding earlystage startups high growth potential,venture capital offers funding earlystage startups high growth potential,1,0.77
Food waste contributes significantly to greenhouse gas emissions globally.,Food waste notably contributes significantly to greenhouse gas emissions globally.,food waste contributes significantly greenhouse gas emissions globally,food waste notably contributes significantly greenhouse gas emissions globally,1,0.94
Adequate hydration is essential for kidney function and overall metabolism.,Evidence suggests that adequate hydration is essential for kidney function and overall metabolism.,adequate hydration essential kidney function overall metabolism,evidence suggests adequate hydration essential kidney function overall metabolism,1,0.78
