text1,text2,label,similarity_score
Mental health is as important as physical health for overall wellbeing.,Renaissance painters developed perspective techniques to create depth on flat surfaces.,0,0.02
Type 2 diabetes is closely linked to obesity and physical inactivity.,The literature confirms that type 2 diabetes is closely linked to obesity and physical inactivity.,1,0.62
Digital literacy has become an essential skill in the modern workforce.,"Theatre production involves directing, acting, set design, and lighting.",0,0.03
Geothermal energy harnesses heat from the Earth's interior for power generation.,Geothermal energy harnesses heat from the Earth's interior for power generation.,1,0.84
Consumer price index tracks changes in the price level of a basket of goods.,The detective uncovered the key evidence buried beneath the old mansion.,0,0.05
Type 2 diabetes is closely linked to obesity and physical inactivity.,Renaissance painters developed perspective techniques to create depth on flat surfaces.,0,0.06
Homeostasis is the body's ability to maintain stable internal conditions.,Hostels offer affordable shared accommodation popular with young travellers.,0,0.08
Hyperparameter tuning optimises model settings that are not learned from data.,Fashion trends shift with seasons and are influenced by culture and celebrity.,0,0.03
Physical rehabilitation helps patients regain function after injury or surgery.,Physical rehabilitation helps patients regain function after injury or surgery.,1,0.89
The human brain contains approximately 86 billion neurons.,Scholars generally agree that the human brain contains approximately 86 billion neurons.,1,0.76
Regular health screenings enable early identification of chronic conditions.,Ecotourism aims to minimise environmental impact while supporting local communities.,0,0.08
Evolution occurs through natural selection acting on genetic variation.,"Chocolate is made from cacao beans that are fermented, dried, and roasted.",0,0.08
"Stagflation is the combination of stagnant growth, high unemployment, and inflation.","According to established theory, stagflation is the combination of stagnant growth, high unemployment, and inflation.",1,0.8
RNA plays a critical role in translating genetic information into proteins.,Sculpture uses three-dimensional form to convey meaning and emotion.,0,0.03
The Paris Agreement aims to limit global warming to 1.5 degrees Celsius.,The Paris Agreement generally aims to limit global warming to 1.5 degrees Celsius.,1,0.74
Mindfulness meditation has been shown to reduce symptoms of anxiety and depression.,Mindfulness meditation has been shown to reduce symptoms of anxiety and depression.,1,0.84
DNA carries the genetic information of all living organisms.,Fresh pasta is made from flour and eggs kneaded into a smooth dough.,0,0.06
Hypertension affects approximately one in three adults worldwide.,Hypertension affects about one in three adults worldwide.,1,0.85
Plastic pollution has contaminated oceans and freshwater systems globally.,oceans and freshwater systems globally. Plastic pollution has contaminated,1,0.76
The Magna Carta was signed in 1215 and limited the power of the English monarch.,The Magna Carta was signed in 1215 and limited the power of the English monarch.,1,0.85
Evolution occurs through natural selection acting on genetic variation.,The library catalogues its collection using the Dewey Decimal Classification system.,0,0.03
Biodiversity refers to the variety of life forms found within a given ecosystem.,Overtourism in popular destinations has raised concerns about cultural preservation.,0,0.02
Quantum entanglement allows two particles to be correlated regardless of distance.,Research indicates that quantum entanglement allows two particles to be correlated regardless of distance.,1,0.74
Venture capital provides funding to early-stage startups with high growth potential.,Venture capital offers funding to early-stage startups with high growth potential.,1,0.77
Food waste contributes significantly to greenhouse gas emissions globally.,Food waste notably contributes significantly to greenhouse gas emissions globally.,1,0.94
Adequate hydration is essential for kidney function and overall metabolism.,Evidence suggests that adequate hydration is essential for kidney function and overall metabolism.,1,0.78
Containerisation using Docker allows applications to run in isolated environments.,Containerisation using Docker allows applications to run in isolated environments.,1,0.76
Mindfulness meditation has been shown to reduce symptoms of anxiety and depression.,Cruise ships carry thousands of passengers across oceans to multiple destinations.,0,0.03
The human brain contains approximately 86 billion neurons.,Fashion trends shift with seasons and are influenced by culture and celebrity.,0,0.06
The water cycle describes the continuous movement of water through the environment.,Impressionist painters sought to capture fleeting moments of light and colour.,0,0.02
Physical activity releases endorphins which improve mood and reduce anxiety.,Physical activity releases endorphins which improve mood and reduce anxiety.,1,0.76
Dark matter makes up approximately 27 percent of the universe's total mass-energy.,Current understanding holds that dark matter makes up approximately 27 percent of the universe's total mass-energy.,1,0.67
Type 2 diabetes is closely linked to obesity and physical inactivity.,Type 2 diabetes is closely linked to obesity and physical inactivity.,1,0.92
Photosynthesis is the process by which plants convert sunlight into chemical energy.,Photosynthesis is how plants convert sunlight into chemical energy.,1,0.79
Marine protected areas help restore fish populations and ocean ecosystems.,The offside rule in football is one of the most debated rules in sport.,0,0.04
The Milky Way is a barred spiral galaxy containing over 200 billion stars.,Renaissance painters developed perspective techniques to create depth on flat surfaces.,0,0.04
Quantitative easing involves central banks purchasing securities to inject money.,purchasing securities to inject money. Quantitative easing involves central banks,1,0.8
Physical activity releases endorphins which improve mood and reduce anxiety.,Physical activity releases endorphins which improve mood and reduce anxiety.,1,0.86
Computer vision allows machines to interpret and understand visual information.,Computer vision allows machines to interpret and this has significant implications for modern research.,1,0.67
Microeconomics studies individual and firm-level decision making in markets.,Microeconomics studies widely individual and firm-level decision making in markets.,1,0.91
The Phillips curve describes the inverse relationship between inflation and unemployment.,The Phillips curve describes the inverse as has been documented extensively in scientific literature.,1,0.55
Air pollution is linked to respiratory conditions and reduced life expectancy.,respiratory conditions and reduced life expectancy. Air pollution is linked to,1,0.71
The water cycle describes the continuous movement of water through the environment.,movement of water through the environment. The water cycle describes the continuous,1,0.77
Supply and demand determine the equilibrium price in a free market.,Supply and demand determine the equilibrium price in a free market.,1,0.78
Data augmentation artificially increases training data by applying transformations.,Scholars generally agree that data augmentation artificially increases training data by applying transformations.,1,0.77
Viruses are not considered living organisms because they cannot replicate independently.,The Olympic Games bring together athletes from over 200 countries every four years.,0,0.04
Higher education institutions face pressure to demonstrate graduate employment outcomes.,to demonstrate graduate employment outcomes. Higher education institutions face pressure,1,0.7
Neurons communicate through electrical impulses and chemical neurotransmitters.,Neurons communicate commonly through electrical impulses and chemical neurotransmitters.,1,0.97
Mentoring programmes significantly improve retention and completion rates.,Mentoring programmes considerably improve retention and completion rates.,1,0.82
